"","SERIALNO","puma_id","SYNTHETIC_HID","place_id","longitude","latitude","AGEGRP","HRSWRK","IMMSTAT","INCTAX","MODE","OCC","POB","RELIGION","SEX","SYNTHETIC_PID","AGEGRP_marg","fsa","ctHH_tertile","ctHHIncome","ID","quest","regio","s2","s3","q21","ctDensity_","ctedu","edu4","foreignBorn","language","employed","nKIDS","HHincomeIMP","nTrust","nPerception","G_scReach","G_scRange","G_scDiversity","N_scReach","N_scRange","N_scDiversity","gTrust","nLocusControl","nHHTie","nNeighbTie","nBeyondTie","nTie","nAlterFemale","sdAlterEdu","nAlterExercise","nAlterSmoke","nAlterSmokeHH"
"1",110409,462,"4620700.01-1",4620700.01,-73.6303993223883,45.6939911209265,5,0,2,0,7,9,1,2,1,"4620700.01-1-1","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",110409,462,"4620700.01-1",4620700.01,-73.6303993223883,45.6939911209265,5,4,2,1000,7,9,1,2,2,"4620700.01-1-2","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",110409,462,"4620700.01-1",4620700.01,-73.6303993223883,45.6939911209265,1,99,2,999999,9,9,1,2,2,"4620700.01-1-3","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",66971,462,"4620700.01-2",4620700.01,-73.6282550368168,45.6926548541203,7,5,2,5000,2,1,1,2,2,"4620700.01-2-4","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",94309,462,"4620700.01-3",4620700.01,-73.6239866956344,45.6937124051788,6,5,2,0,2,1,1,2,1,"4620700.01-3-5","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",94309,462,"4620700.01-3",4620700.01,-73.6239866956344,45.6937124051788,2,99,2,999999,9,9,1,2,1,"4620700.01-3-6","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",94309,462,"4620700.01-3",4620700.01,-73.6239866956344,45.6937124051788,2,99,2,999999,9,9,1,2,2,"4620700.01-3-7","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",44758,462,"4620700.01-6",4620700.01,-73.6365991062541,45.6930945929953,6,4,2,7000,6,9,1,2,2,"4620700.01-6-11","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5947,462,"4620700.01-7",4620700.01,-73.6225577573312,45.69712781385,7,5,2,9000,6,9,1,2,2,"4620700.01-7-12","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",5947,462,"4620700.01-7",4620700.01,-73.6225577573312,45.69712781385,2,99,2,999999,9,9,1,2,2,"4620700.01-7-13","AGEGRP-0-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
