"workplace_id","stcotr","employees","placed","wkb_geometry"
972447874,10005051304,1,1,"0101000020E6100000FF3EE3C281CB52C03B6D8D08C6394340"
400174098,10001040100,2,3,"0101000020E610000024D236FE44E752C0C6504EB4AB9A4340"
400482516,10001040100,1,2,"0101000020E61000007B681F2BF8E652C0C90391459A9A4340"
603542283,10001040201,4,5,"0101000020E610000003D0285DFAE652C0240ED940BAA64340"
678081480,10001040201,2,2,"0101000020E610000086C8E9EBF9E652C0B37C5D86FFA64340"
692362783,10001040201,1,2,"0101000020E61000008B6EBDA607E752C023827170E9A64340"
816271902,10001040201,2,3,"0101000020E610000088F37002D3E652C0572250FD83A64340"
816272249,10001040201,6,7,"0101000020E61000002EC55565DFE652C01D226E4E25A74340"
816272637,10001040201,20,21,"0101000020E6100000881057CEDEE652C0C3D66CE525A74340"
816272900,10001040201,7,7,"0101000020E610000068B27F9E06E752C0A3737E8AE3A64340"
816275143,10001040201,1,2,"0101000020E61000007E18213CDAE652C071C971A774A64340"
816275622,10001040201,70,71,"0101000020E610000021AE9CBD33E752C05070B1A206A74340"
816275978,10001040201,6,7,"0101000020E61000006E4C4F58E2E652C09161156F64A64340"
816275994,10001040201,20,21,"0101000020E6100000F450DB8651E752C0BE1589096AA64340"
816276141,10001040201,19,20,"0101000020E6100000828C800A47E752C074B680D07AA64340"
890642481,10001040201,4,5,"0101000020E6100000CAC51858C7E652C010E9B7AF03A74340"
909467391,10001040201,2,3,"0101000020E61000001BF2CF0CE2E652C00AF31E679AA64340"
909470254,10001040201,75,76,"0101000020E6100000F99D2633DEE652C0698B6B7C26A74340"
909470627,10001040201,30,31,"0101000020E6100000DB5207793DE752C09014916115A74340"
966226854,10001040201,3,4,"0101000020E6100000AB06616EF7E652C0EC12D55B03A74340"
121612329,10001040201,4,5,"0101000020E61000000EF3E505D8E652C0CA4E3FA88BA64340"
121612428,10001040201,10,11,"0101000020E6100000C91CCBBBEAE652C0E73922DFA5A64340"
121612543,10001040201,3,3,"0101000020E6100000F96871C630E752C0740D33349EA64340"
121612675,10001040201,4,5,"0101000020E6100000C91CCBBBEAE652C063601DC70FA74340"
121612709,10001040201,3,3,"0101000020E610000091990B5C1EE752C061A92EE065A64340"
121613863,10001040201,26,27,"0101000020E6100000B857E6ADBAE652C066D993C0E6A64340"
121614143,10001040201,2,3,"0101000020E6100000F86F5E9CF8E652C0CA703C9F01A74340"
121614325,10001040201,6,7,"0101000020E610000051BB5F05F8E652C0C37FBA8102A74340"
121614374,10001040201,5,6,"0101000020E6100000E6E786A6ECE652C0C689AF7614A74340"
121614457,10001040201,3,4,"0101000020E6100000A0A9D72D02E752C0D174763238A64340"
121614523,10001040201,3,4,"0101000020E6100000B2BD16F4DEE652C0C3D66CE525A74340"
121615041,10001040201,1,2,"0101000020E610000026529ACDE3E652C017618A7269A64340"
207106147,10001040201,1,2,"0101000020E6100000963D096CCEE652C02079E75086A64340"
207106154,10001040201,3,4,"0101000020E6100000963D096CCEE652C02079E75086A64340"
211019831,10001040201,23,24,"0101000020E61000008E3BA583F5E652C02C9ACE4E06A74340"
222527970,10001040201,4,5,"0101000020E61000003BC43F6CE9E652C0705F07CE19A74340"
223333741,10001040201,3,4,"0101000020E6100000787E5182FEE652C0CD237F30F0A64340"
226309078,10001040201,2,3,"0101000020E6100000DB6AD619DFE652C0707CED9925A74340"
237043955,10001040201,5,6,"0101000020E61000004565C39ACAE652C00CE544BB0AA74340"
238777742,10001040201,7,7,"0101000020E61000009E245D33F9E652C07D073F7100A74340"
244324505,10001040201,7,7,"0101000020E61000005872158BDFE652C01D226E4E25A74340"
252337019,10001040201,8,8,"0101000020E6100000E36C3A02B8E652C051A5660FB4A64340"
252341847,10001040201,5,6,"0101000020E6100000DC4603780BE752C030478FDFDBA64340"
260210562,10001040201,20,21,"0101000020E61000005BD07B6308E752C09370218FE0A64340"
302032495,10001040201,13,13,"0101000020E6100000D331E719FBE652C03D80457EFDA64340"
309003614,10001040201,40,41,"0101000020E6100000AAB9DC60A8E652C0B7EF517FBDA64340"
309003671,10001040201,6,7,"0101000020E61000008D9C853DEDE652C09DF6949C13A74340"
309956605,10001040201,1,2,"0101000020E61000003F912749D7E652C073D87DC7F0A64340"
315001081,10001040201,2,2,"0101000020E61000004DF8A57EDEE652C01631EC3026A74340"
379526676,10001040201,11,11,"0101000020E61000005664744012E752C0D7DEA7AAD0A64340"
379526940,10001040201,2,3,"0101000020E61000004DF8A57EDEE652C01631EC3026A74340"
379527237,10001040201,8,8,"0101000020E6100000F99D2633DEE652C0698B6B7C26A74340"
382795771,10001040201,1,2,"0101000020E6100000C1ABE5CE4CE752C0B8CD548847A64340"
388587149,10001040201,7,7,"0101000020E61000008BFA2477D8E652C0A3906456EFA64340"
400174043,10001040201,1,2,"0101000020E6100000EF2076A6D0E652C01497E31588A64340"
400242982,10001040201,10,10,"0101000020E6100000ED9E3C2CD4E652C00798F90E7EA64340"
455357590,10001040201,8,8,"0101000020E6100000997E8978EBE652C0DD7D8E8F16A74340"
472714187,10001040201,4,5,"0101000020E6100000E6E786A6ECE652C0A7785C548BA64340"
472714468,10001040201,3,4,"0101000020E61000007381CB63CDE652C091B8C7D287A64340"
493573448,10001040201,1,2,"0101000020E6100000C91CCBBBEAE652C063601DC70FA74340"
515075240,10001040201,8,8,"0101000020E6100000F8359204E1E652C070B6B9313DA74340"
515075273,10001040201,6,7,"0101000020E6100000997E8978EBE652C0DD7D8E8F16A74340"
515076156,10001040201,3,4,"0101000020E610000045BC75FEEDE652C0508D976E12A74340"
515076206,10001040201,3,3,"0101000020E6100000E6E786A6ECE652C0A7785C548BA64340"
515076834,10001040201,2,2,"0101000020E6100000DBA4A2B1F6E652C0397CD28904A74340"
515077105,10001040201,3,4,"0101000020E6100000E6ADBA0ED5E652C0C72DE6E786A64340"
515077428,10001040201,2,2,"0101000020E6100000A0A9D72D02E752C0D174763238A64340"
535003016,10001040201,10,11,"0101000020E61000006571FF91E9E652C0A9D898D711A74340"
535004329,10001040201,1,1,"0101000020E61000000FD6FF39CCE652C050C24CDBBFA64340"
541622700,10001040201,5,6,"0101000020E61000002CF180B229E752C044A67C08AAA64340"
541622981,10001040201,3,3,"0101000020E61000005BED612F14E752C04A287D21E4A64340"
