RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,387201,102,3,10,0,1,10003011202-1,10003011202,-7.55008964574366E1,3.98248886478678E1,P,200,10,2,53,1,,0,1,6,0,1,4110,10,1,10003011202-1-1,,
H,1,991090,102,3,10,10,1,10003011202-2,10003011202,-7.55006713165965E1,3.9825271520777E1,P,101,10,2,47,1,,0,1,3,10,1,9920,10,1,10003011202-2-2,,
H,1,1293114,102,3,10,2400,1,10003011202-3,10003011202,-7.5501153484032E1,3.98247304490524E1,P,103,10,1,55,1,,0,1,1,2400,1,4250,10,1,10003011202-3-3,,476907092
H,1,1240096,102,3,10,7500,1,10003011202-4,10003011202,-7.55014164817933E1,3.98250522768572E1,P,103,10,1,63,1,,0,1,3,7500,1,4850,42,1,10003011202-4-4,,
H,1,1240096,102,3,10,7500,1,10003011202-5,10003011202,-7.5501437314934E1,3.98248186282468E1,P,103,10,1,63,1,,0,1,3,7500,1,4850,42,1,10003011202-5-5,,
H,1,1165564,102,3,10,1900,1,10003011202-6,10003011202,-7.55020083197616E1,3.9824860746241E1,P,300,10,2,69,1,,0,1,6,1900,1,,36,1,10003011202-6-6,,
H,1,852392,102,3,10,1900,1,10003011202-7,10003011202,-7.5501622110268E1,3.98249415474971E1,P,300,10,1,74,1,,0,1,6,1900,1,,42,1,10003011202-7-7,,
H,1,1165564,102,3,10,1900,1,10003011202-8,10003011202,-7.55022313383035E1,3.98251158225425E1,P,300,10,2,69,1,,0,1,6,1900,1,,36,1,10003011202-8-8,,
H,1,568975,102,3,10,7200,1,10003011202-9,10003011202,-7.55020887802623E1,3.9824963724442E1,P,300,10,2,78,1,,0,1,6,7200,1,,54,1,10003011202-9-9,,
H,1,397144,102,3,10,7500,1,10003011202-10,10003011202,-7.55029568918712E1,3.98250703039825E1,P,300,10,2,76,1,,0,1,6,7500,1,,42,1,10003011202-10-10,,
H,1,757698,102,3,10,7700,1,10003011202-11,10003011202,-7.5503462170281E1,3.9825070633916E1,P,102,10,2,76,1,,0,1,6,7700,1,,39,1,10003011202-11-11,,
H,1,734411,102,3,10,10800,1,10003011202-12,10003011202,-7.55034533589533E1,3.98247684395943E1,P,200,10,2,39,1,,0,1,6,10800,1,,24,1,10003011202-12-12,,
H,1,1165106,102,3,10,13000,1,10003011202-13,10003011202,-7.55041408054724E1,3.982482947407E1,P,101,10,2,43,1,,0,3,6,13000,1,,72,1,10003011202-13-13,,
H,1,904359,102,3,10,12990,1,10003011202-14,10003011202,-7.55038908824143E1,3.98250935360363E1,P,104,10,1,54,1,,0,1,3,12990,2,830,235,1,10003011202-14-14,,
H,1,904359,102,3,10,12990,1,10003011202-15,10003011202,-7.55005023230646E1,3.98263983376967E1,P,104,10,1,54,1,,0,1,3,12990,2,830,235,1,10003011202-15-15,,
H,1,786421,102,3,10,14000,1,10003011202-16,10003011202,-7.55007317414701E1,3.98260715866993E1,P,300,10,2,46,1,,0,1,1,14000,1,5700,39,1,10003011202-16-16,,603524828
H,1,228627,102,3,10,12000,1,10003011202-17,10003011202,-7.5500548010081E1,3.98261944772458E1,P,300,10,1,49,1,,0,1,6,12000,1,4965,42,1,10003011202-17-17,,
H,1,936599,102,3,10,10000,1,10003011202-18,10003011202,-7.55011446512382E1,3.9825901687122E1,P,200,10,1,49,1,,0,1,3,10000,1,9130,25,1,10003011202-18-18,,
H,1,904359,102,3,10,12990,1,10003011202-19,10003011202,-7.55006153537356E1,3.98252327298797E1,P,104,10,1,54,1,,0,1,3,12990,2,830,235,1,10003011202-19-19,,
