RT,TYPE,SERIALNO,puma_id,REGION,ST,HINCP,NP,SYNTHETIC_HID,place_id,longitude,latitude
H,1,1261217,300,3,10,1700,1,10005051302-1,10005051302,-7.51566023171413E1,3.84829479297046E1
H,1,524185,300,3,10,5000,1,10005051302-2,10005051302,-7.51593572284746E1,3.84851890728502E1
H,1,524185,300,3,10,5000,1,10005051302-3,10005051302,-7.51604886593658E1,3.8486824703191E1
H,1,742382,300,3,10,2800,1,10005051302-4,10005051302,-7.51607710127596E1,3.84878784623754E1
H,1,742382,300,3,10,2800,1,10005051302-5,10005051302,-7.5160972458337E1,3.84881528410388E1
H,1,1030381,300,3,10,4000,1,10005051302-6,10005051302,-7.51621221469061E1,3.84898166239911E1
H,1,532589,300,3,10,7000,1,10005051302-7,10005051302,-7.51409537911323E1,3.84782727940558E1
H,1,532589,300,3,10,7000,1,10005051302-8,10005051302,-7.51438391382063E1,3.84793039219648E1
H,1,1309363,300,3,10,0,1,10005051302-9,10005051302,-7.51446221521343E1,3.8480090212806E1
H,1,1235711,300,3,10,0,1,10005051302-10,10005051302,-7.51455493609788E1,3.8480212358913E1
H,1,955668,300,3,10,190,1,10005051302-11,10005051302,-7.51465861032583E1,3.84805488998237E1
H,1,85330,300,3,10,860,1,10005051302-12,10005051302,-7.51475055836098E1,3.84807753104314E1
H,1,1235711,300,3,10,0,1,10005051302-13,10005051302,-7.51483795909675E1,3.84810292317864E1
H,1,387201,300,3,10,0,1,10005051302-14,10005051302,-7.5147917386596E1,3.84811849665805E1
H,1,791265,300,3,10,0,1,10005051302-15,10005051302,-7.51498417027963E1,3.8481286087391E1
H,1,991090,300,3,10,10,1,10005051302-16,10005051302,-7.5150005264841E1,3.84809192283528E1
H,1,387201,300,3,10,0,1,10005051302-17,10005051302,-7.51508016608924E1,3.84814061823096E1
H,1,938735,300,3,10,3000,1,10005051302-18,10005051302,-7.51514953669243E1,3.84816089996921E1
H,1,259012,300,3,10,3000,1,10005051302-19,10005051302,-7.51520488820703E1,3.84814088582246E1
H,1,1110287,300,3,10,5470,1,10005051302-20,10005051302,-7.51546587972553E1,3.84818623317827E1
H,1,1293114,300,3,10,2400,1,10005051302-21,10005051302,-7.51546169018367E1,3.84821002484157E1
H,1,1110287,300,3,10,5470,1,10005051302-22,10005051302,-7.5155495909445E1,3.84822017382935E1
H,1,101510,300,3,10,1900,1,10005051302-23,10005051302,-7.51587938088747E1,3.84855543822976E1
H,1,1095942,300,3,10,800,1,10005051302-24,10005051302,-7.51400843433144E1,3.84787524882372E1
H,1,544546,300,3,10,3000,1,10005051302-25,10005051302,-7.51395362762991E1,3.84792986260348E1
H,1,858675,300,3,10,1100,1,10005051302-26,10005051302,-7.51390492176124E1,3.84797289870437E1
H,1,718931,300,3,10,10,1,10005051302-27,10005051302,-7.51383024198705E1,3.84803508458602E1
H,1,142764,300,3,10,9700,1,10005051302-28,10005051302,-7.51383403715454E1,3.8481891507227E1
H,1,866055,300,3,10,6500,1,10005051302-29,10005051302,-7.51382280492932E1,3.8482563219374E1
H,1,1240096,300,3,10,7500,1,10005051302-30,10005051302,-7.51379720876816E1,3.84840742097757E1
H,1,866055,300,3,10,6500,1,10005051302-31,10005051302,-7.51377009649995E1,3.84851289061536E1
H,1,436881,300,3,10,0,1,10005051302-32,10005051302,-7.51366028662688E1,3.8486507922708E1
H,1,866055,300,3,10,6500,1,10005051302-33,10005051302,-7.51366968769913E1,3.84864106985892E1
H,1,1406099,300,3,10,6200,1,10005051302-34,10005051302,-7.51357009621347E1,3.84877036640118E1
H,1,784926,300,3,10,7000,1,10005051302-35,10005051302,-7.51351441152137E1,3.84877867550081E1
H,1,1165564,300,3,10,1900,1,10005051302-36,10005051302,-7.51345265287378E1,3.84884573869436E1
H,1,1108400,300,3,10,0,1,10005051302-37,10005051302,-7.5134137729722E1,3.84885720516255E1
H,1,852392,300,3,10,1900,1,10005051302-38,10005051302,-7.51341273847815E1,3.84889161804228E1
H,1,14842,300,3,10,4500,1,10005051302-39,10005051302,-7.51333688022086E1,3.84894387942906E1
H,1,852392,300,3,10,1900,1,10005051302-40,10005051302,-7.51374220975031E1,3.8485898787752E1
H,1,744959,300,3,10,8000,1,10005051302-41,10005051302,-7.5141779644436E1,3.84899954678834E1
H,1,14842,300,3,10,4500,1,10005051302-42,10005051302,-7.51406395056123E1,3.84891500640744E1
H,1,1108400,300,3,10,0,1,10005051302-43,10005051302,-7.51387580980335E1,3.8489046520597E1
H,1,466491,300,3,10,0,1,10005051302-44,10005051302,-7.5139672596289E1,3.84894305914184E1
H,1,757698,300,3,10,7700,1,10005051302-45,10005051302,-7.51401852609923E1,3.84890429056952E1
H,1,182822,300,3,10,7200,1,10005051302-46,10005051302,-7.51401029319058E1,3.84893971340516E1
H,1,8806,300,3,10,8400,1,10005051302-47,10005051302,-7.51364833598305E1,3.84882026934712E1
H,1,757698,300,3,10,7700,1,10005051302-48,10005051302,-7.51358781806347E1,3.84881308362313E1
H,1,956314,300,3,10,0,1,10005051302-49,10005051302,-7.5135942803472E1,3.84879109527542E1
H,1,851865,300,3,10,3400,1,10005051302-50,10005051302,-7.5161124516727E1,3.84891444389135E1
H,1,182822,300,3,10,7200,1,10005051302-51,10005051302,-7.5159984939274E1,3.84891524230408E1
H,1,466491,300,3,10,0,1,10005051302-52,10005051302,-7.51595412038557E1,3.84895343148873E1
H,1,851865,300,3,10,3400,1,10005051302-53,10005051302,-7.51574367128036E1,3.8489781581628E1
H,1,757698,300,3,10,7700,1,10005051302-54,10005051302,-7.51566381372894E1,3.84896607563476E1
H,1,851865,300,3,10,3400,1,10005051302-55,10005051302,-7.51564068887253E1,3.84894846731101E1
H,1,851865,300,3,10,3400,1,10005051302-56,10005051302,-7.51548890058485E1,3.8490054260385E1
H,1,1140536,300,3,10,4200,1,10005051302-57,10005051302,-7.5153517023001E1,3.84895282341402E1
H,1,529919,300,3,10,1500,1,10005051302-58,10005051302,-7.5151728574736E1,3.84897007331232E1
H,1,1038645,300,3,10,9580,1,10005051302-59,10005051302,-7.5153126449875E1,3.84895672453807E1
H,1,603628,300,3,10,5000,1,10005051302-60,10005051302,-7.515159383057E1,3.84898037218141E1
H,1,1472248,300,3,10,1500,1,10005051302-61,10005051302,-7.5150265734072E1,3.84898249886035E1
H,1,861353,300,3,10,0,1,10005051302-62,10005051302,-7.51474635637364E1,3.84904524842947E1
H,1,603628,300,3,10,5000,1,10005051302-63,10005051302,-7.5148373462503E1,3.84899686985424E1
H,1,1128561,300,3,10,8700,1,10005051302-64,10005051302,-7.51502566165408E1,3.84900672773177E1
H,1,1116768,300,3,10,9500,1,10005051302-65,10005051302,-7.51476797835745E1,3.84900173916714E1
H,1,543859,300,3,10,2100,1,10005051302-66,10005051302,-7.51458718708231E1,3.84901987587087E1
H,1,1475287,300,3,10,6900,1,10005051302-67,10005051302,-7.51444051374774E1,3.84901778717898E1
H,1,453337,300,3,10,10000,1,10005051302-68,10005051302,-7.51436098664655E1,3.8490053852135E1
H,1,385955,300,3,10,10600,1,10005051302-69,10005051302,-7.51439715794892E1,3.849028511803E1
H,1,1165106,300,3,10,13000,1,10005051302-70,10005051302,-7.51431836597888E1,3.84899784030118E1
H,1,734411,300,3,10,10800,1,10005051302-71,10005051302,-7.51438995291776E1,3.84892680543618E1
H,1,1165106,300,3,10,13000,1,10005051302-72,10005051302,-7.5144129402729E1,3.84899993774355E1
H,1,228627,300,3,10,12000,1,10005051302-73,10005051302,-7.51954499951962E1,3.8492245012327E1
H,1,726392,300,3,10,13050,1,10005051302-74,10005051302,-7.51931992439807E1,3.84916979389714E1
H,1,1191546,300,3,10,12000,1,10005051302-75,10005051302,-7.51936587040827E1,3.84918806142071E1
H,1,1062062,300,3,10,12000,1,10005051302-76,10005051302,-7.51986268925927E1,3.84960930123161E1
H,1,936599,300,3,10,10000,1,10005051302-77,10005051302,-7.51985018643893E1,3.84959950276147E1
H,1,806374,300,3,10,10100,1,10005051302-78,10005051302,-7.51978608075354E1,3.84954588914233E1
H,1,1070195,300,3,10,13190,1,10005051302-79,10005051302,-7.51971570128807E1,3.84948976559548E1
H,1,870296,300,3,10,13500,1,10005051302-80,10005051302,-7.5196358391881E1,3.84936252788573E1
H,1,904359,300,3,10,12990,1,10005051302-81,10005051302,-7.5196247583271E1,3.849260436275E1
H,1,1191546,300,3,10,12000,1,10005051302-82,10005051302,-7.51966603878204E1,3.84940197110114E1
H,1,633903,300,3,10,10800,1,10005051302-83,10005051302,-7.5174444519246E1,3.84949022894364E1
H,1,870296,300,3,10,13500,1,10005051302-84,10005051302,-7.5151680375783E1,3.84957214522188E1
