"School","ID","CoNo","StNo","Low","High","Students"
"ABBOTT HOUSE","01283096",35,"46",4,12,36
"ABERDEEN CHRISTIAN SCHOOL","02058401",13,"46",-1,12,146
"ACADEMIC PROGRAM","A1102050",135,"46",6,12,46
"BETHEL LUTHERAN SCHOOL","A0302913",99,"46",0,8,20
"BETHESDA LUTHERAN SCHOOL","02058478",47,"46",-1,5,21
"BLACK HILLS CHILDREN'S HOME","02058649",103,"46",-1,8,52
"BLACK HILLS CHRISTIAN ACADEMY","A9703180",81,"46",-1,8,86
"CALVARY CHRISTIAN SCHOOL","02119047",103,"46",-1,5,133
"CENTRAL BAPTIST PRESCHOOL & KI","K9305850",83,"46",-1,0,340
"CHILDREN'S CARE HOSPITAL-SCHOO","01283052",99,"46",-1,12,98
"CHILDREN'S HOME SOCIETY","01282707",99,"46",-1,8,85
"CHILDREN'S HOUSE MONTESSORI","A0109178",103,"46",-1,4,54
"CHRILDREN FIRST","A1171644",81,"46",-1,0,110
"CHRIST THE KING SCHOOL","01282285",99,"46",-1,6,127
"CHRISTIAN CENTER ELEMENTARY SC","02058616",99,"46",0,5,139
"DAKOTA CHRISTIAN SCHOOL","01282773",43,"46",-1,12,118
"EDUCATION & INTEGRATION SERVIC","A0109185",99,"46",-2,-2,37
"FREEMAN ACADEMY","01282591",67,"46",5,12,69
"GOOD SHEPHERD LUTHERAN","01932429",99,"46",-1,8,52
"GREAT PLAINS LUTHERAN HIGH SCH","A9703182",29,"46",9,12,107
"HOLY CROSS CATHOLIC SCHOOL","01282412",45,"46",-1,4,33
"HOLY ROSARY CATHOLIC SCHOOL","01282398",29,"46",-1,6,24
"HOLY SPIRIT SCHOOL","A0503261",99,"46",-1,6,466
"HOLY TRINITY CATHOLIC ELEMENTA","01282423",5,"46",-1,6,155
"IMMACULATE CONCEPTION SCHOOL","01282219",29,"46",-1,6,215
"JAMES VALLEY CHRISTIAN SCHOOL","X1282977",5,"46",-1,12,211
"JOHN PAUL II ELEMENTARY SCHOOL","01282365",35,"46",-1,6,226
"MADISON CHRISTIAN SCHOOL","A0302917",79,"46",-1,6,25
"MISSOURI VALLEY CHRISTIAN ACAD","A1102051",135,"46",0,6,30
"MITCHELL CHRISTIAN SCHOOL","02163085",35,"46",-1,12,170
"O'GORMAN HIGH SCHOOL","01282274",99,"46",9,12,749
"O'GORMAN JUNIOR HIGH SCHOOL","A0109193",99,"46",7,8,356
"OUR LADY OF LOURDES SCHOOL","01282139",113,"46",0,8,136
"POINSETT COLONY ELEMENTARY SCH","A9903968",57,"46",2,8,5
"RAPID CITY CATHOLIC SCHOOL SYS","A9703185",103,"46",-1,12,770
"RAPID CITY SEVENTH-DAY ADVENTI","01283325",103,"46",0,6,12
"REACH HIGH ALT ED","A1102052",99,"46",10,12,33
"RED CLOUD INDIAN SCHOOL","X1608378",113,"46",0,12,534
"RONCALLI ELEMENTARY SCHOOL","01282489",13,"46",3,6,182
"RONCALLI JR & SR HIGH SCHOOL","A0302918",13,"46",7,12,259
"RONCALLI PRIMARY SCHOOL","A0302919",13,"46",-1,2,202
"SACRED HEART SCHOOL","Y1282208",135,"46",-1,4,244
"SALEM ST MARY'S ELEMENTARY SCH","01282321",87,"46",0,8,58
"SIOUX FALLS ADVENTIST SCHOOL","AA001291",99,"46",0,8,10
"SIOUX FALLS CHRISTIAN SCHOOLS","01282784",83,"46",-1,12,971
"SIOUX FALLS LUTHERAN SCHOOL","02058536",99,"46",-1,8,276
"ST AGNES ELEMENTARY SCHOOL","01282241",27,"46",-1,5,146
"ST JOSEPH ELEMENTARY","01282456",15,"46",1,8,156
"ST JOSEPH ELEMENTARY SCHOOL","01282332",65,"46",-1,5,189
"ST KATHARINE DREXEL ELEMENTARY","A0903402",83,"46",-1,4,119
"ST LAMBERT ELEMENTARY SCHOOL","01282263",99,"46",-1,6,246
"ST LAWRENCE SCHOOL","01282376",51,"46",-1,6,130
"ST MARTINS LUTHERAN SCHOOL","01282569",29,"46",-1,8,133
"ST MARY CATHOLIC SCHOOL","01282434",99,"46",-1,12,227
"ST MARY SCHOOL","01282252",99,"46",-1,6,380
"ST MICHAEL SCHOOL","A9703190",99,"46",-1,6,311
"ST PAULS LUTHERAN SCHOOL","01282729",103,"46",-1,8,100
"ST THOMAS SCHOOL","01282387",79,"46",-1,5,85
"SUNNY PLAINS CHRISTIAN SCHOOL","02058343",77,"46",0,8,38
"SUNSHINE BIBLE ACADEMY","Y1282853",59,"46",1,12,100
"THE BAAN DEK MONTESSORI SCHOOL","A0903403",99,"46",-1,0,23
"TRAIN UP A CHILD PRESCHOOL/KIN","A1102053",99,"46",-1,0,107
"TRINITY LUTHERAN SCHOOL","01283154",29,"46",2,8,5
"TRINITY LUTHERAN SCHOOL","01283165",13,"46",-1,8,40
"VOLGA CHRISTIAN SCHOOL","01282795",11,"46",-1,8,54
"WATERTOWN CHRISTIAN SCHOOL","A9503773",29,"46",-1,8,99
"WHITE EAGLE CHRISTIAN ACADEMY","A0109209",121,"46",1,7,13
"ZION LUTHERAN SCHOOL","01282671",103,"46",-1,5,186
