"place_id","n_house","level"
"artigas","73,378","level2"
"canelones","520,187","level2"
"cerrolargo","84,698","level2"
"colonia","123,203","level2"
"durazno","57,088","level2"
"flores","25,050","level2"
"florida","67,048","level2"
"lavalleja","58,815","level2"
"maldonado","164,300","level2"
"montevideo","1,319,108","level2"
"paysand","113,124","level2"
"ronegro","54,765","level2"
"rivera","103,493","level2"
"rocha","68,088","level2"
"salto","124,878","level2"
"sanjose","108,309","level2"
"soriano","82,595","level2"
"tacuaremb","90,053","level2"
"treintaytres","48,134","level2"
"total","3,286,314","total"
