"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,245,"URY","Uruguay",1,"Artigas","UY.AR",NA,"","Departamento","Department","",""
2,245,"URY","Uruguay",2,"Canelones","UY.CA",NA,"","Departamento","Department","",""
3,245,"URY","Uruguay",3,"Cerro Largo","UY.CL",NA,"","Departamento","Department","",""
4,245,"URY","Uruguay",4,"Colonia","UY.CO",NA,"","Departamento","Department","",""
5,245,"URY","Uruguay",5,"Durazno","UY.DU",NA,"","Departamento","Department","",""
6,245,"URY","Uruguay",6,"Flores","UY.FS",NA,"","Departamento","Department","",""
7,245,"URY","Uruguay",7,"Florida","UY.FD",NA,"","Departamento","Department","",""
8,245,"URY","Uruguay",8,"Lavalleja","UY.LA",NA,"","Departamento","Department","",""
9,245,"URY","Uruguay",9,"Maldonado","UY.MA",NA,"","Departamento","Department","",""
10,245,"URY","Uruguay",10,"Montevideo","UY.MO",NA,"","Departamento","Department","","Montevidéu"
11,245,"URY","Uruguay",11,"Paysandú","UY.PA",NA,"","Departamento","Department","",""
12,245,"URY","Uruguay",12,"Río Negro","UY.RN",NA,"","Departamento","Department","",""
13,245,"URY","Uruguay",13,"Rivera","UY.RV",NA,"","Departamento","Department","",""
14,245,"URY","Uruguay",14,"Rocha","UY.RO",NA,"","Departamento","Department","",""
15,245,"URY","Uruguay",15,"Salto","UY.SA",NA,"","Departamento","Department","",""
16,245,"URY","Uruguay",16,"San José","UY.SJ",NA,"","Departamento","Department","",""
17,245,"URY","Uruguay",17,"Soriano","UY.SO",NA,"","Departamento","Department","",""
18,245,"URY","Uruguay",18,"Tacuarembó","UY.TA",NA,"","Departamento","Department","",""
19,245,"URY","Uruguay",19,"Treinta y Tres","UY.TT",NA,"","Departamento","Department","",""
