"st","co","puma","st.names","stco","co.names","Abbreviation"
1,89,"200","ALABAMA","01089","Madison County","AL"
1,83,"300","ALABAMA","01083","Limestone County","AL"
1,89,"300","ALABAMA","01089","Madison County","AL"
1,43,"500","ALABAMA","01043","Cullman County","AL"
1,95,"500","ALABAMA","01095","Marshall County","AL"
1,133,"500","ALABAMA","01133","Winston County","AL"
1,79,"600","ALABAMA","01079","Lawrence County","AL"
1,103,"600","ALABAMA","01103","Morgan County","AL"
1,49,"400","ALABAMA","01049","DeKalb County","AL"
1,71,"400","ALABAMA","01071","Jackson County","AL"
1,55,"1000","ALABAMA","01055","Etowah County","AL"
1,19,"1100","ALABAMA","01019","Cherokee County","AL"
1,27,"1100","ALABAMA","01027","Clay County","AL"
1,29,"1100","ALABAMA","01029","Cleburne County","AL"
1,111,"1100","ALABAMA","01111","Randolph County","AL"
1,121,"1100","ALABAMA","01121","Talladega County","AL"
1,15,"1200","ALABAMA","01015","Calhoun County","AL"
1,33,"100","ALABAMA","01033","Colbert County","AL"
1,77,"100","ALABAMA","01077","Lauderdale County","AL"
1,57,"700","ALABAMA","01057","Fayette County","AL"
1,59,"700","ALABAMA","01059","Franklin County","AL"
1,75,"700","ALABAMA","01075","Lamar County","AL"
1,93,"700","ALABAMA","01093","Marion County","AL"
1,107,"700","ALABAMA","01107","Pickens County","AL"
1,119,"700","ALABAMA","01119","Sumter County","AL"
1,125,"1400","ALABAMA","01125","Tuscaloosa County","AL"
1,7,"1500","ALABAMA","01007","Bibb County","AL"
1,47,"1500","ALABAMA","01047","Dallas County","AL"
1,63,"1500","ALABAMA","01063","Greene County","AL"
1,65,"1500","ALABAMA","01065","Hale County","AL"
1,91,"1500","ALABAMA","01091","Marengo County","AL"
1,105,"1500","ALABAMA","01105","Perry County","AL"
1,81,"1700","ALABAMA","01081","Lee County","AL"
1,5,"1800","ALABAMA","01005","Barbour County","AL"
1,11,"1800","ALABAMA","01011","Bullock County","AL"
1,13,"1800","ALABAMA","01013","Butler County","AL"
1,41,"1800","ALABAMA","01041","Crenshaw County","AL"
1,67,"1800","ALABAMA","01067","Henry County","AL"
1,87,"1800","ALABAMA","01087","Macon County","AL"
1,109,"1800","ALABAMA","01109","Pike County","AL"
1,113,"1800","ALABAMA","01113","Russell County","AL"
1,31,"2500","ALABAMA","01031","Coffee County","AL"
1,39,"2500","ALABAMA","01039","Covington County","AL"
1,61,"2500","ALABAMA","01061","Geneva County","AL"
1,45,"2600","ALABAMA","01045","Dale County","AL"
1,69,"2600","ALABAMA","01069","Houston County","AL"
1,17,"1600","ALABAMA","01017","Chambers County","AL"
1,21,"1600","ALABAMA","01021","Chilton County","AL"
1,37,"1600","ALABAMA","01037","Coosa County","AL"
1,123,"1600","ALABAMA","01123","Tallapoosa County","AL"
1,101,"1900","ALABAMA","01101","Montgomery County","AL"
1,1,"2000","ALABAMA","01001","Autauga County","AL"
1,51,"2000","ALABAMA","01051","Elmore County","AL"
1,101,"2000","ALABAMA","01101","Montgomery County","AL"
1,23,"2100","ALABAMA","01023","Choctaw County","AL"
1,25,"2100","ALABAMA","01025","Clarke County","AL"
1,35,"2100","ALABAMA","01035","Conecuh County","AL"
1,53,"2100","ALABAMA","01053","Escambia County","AL"
1,85,"2100","ALABAMA","01085","Lowndes County","AL"
1,99,"2100","ALABAMA","01099","Monroe County","AL"
1,129,"2100","ALABAMA","01129","Washington County","AL"
1,131,"2100","ALABAMA","01131","Wilcox County","AL"
1,97,"2200","ALABAMA","01097","Mobile County","AL"
1,97,"2300","ALABAMA","01097","Mobile County","AL"
1,3,"2400","ALABAMA","01003","Baldwin County","AL"
1,9,"800","ALABAMA","01009","Blount County","AL"
1,115,"800","ALABAMA","01115","St. Clair County","AL"
1,127,"800","ALABAMA","01127","Walker County","AL"
1,73,"905","ALABAMA","01073","Jefferson County","AL"
1,117,"1300","ALABAMA","01117","Shelby County","AL"
1,73,"901","ALABAMA","01073","Jefferson County","AL"
1,73,"902","ALABAMA","01073","Jefferson County","AL"
1,73,"903","ALABAMA","01073","Jefferson County","AL"
1,73,"904","ALABAMA","01073","Jefferson County","AL"
2,20,"101","ALASKA","02020","Anchorage Borough","AK"
2,20,"102","ALASKA","02020","Anchorage Borough","AK"
2,122,"200","ALASKA","02122","Kenai Peninsula Borough","AK"
