"st","co","tract.no"
1,89,"002921"
1,89,"002912"
1,89,"002802"
1,89,"002722"
1,89,"002501"
1,89,"002100"
1,89,"002000"
1,89,"001902"
1,89,"001901"
1,89,"001400"
1,89,"001100"
1,89,"001000"
1,89,"000901"
1,89,"000402"
1,89,"000401"
1,89,"000201"
1,89,"011021"
1,89,"010302"
1,89,"010702"
1,89,"010902"
1,89,"010901"
1,89,"011100"
1,89,"011012"
1,89,"010701"
1,89,"010401"
1,89,"011200"
1,89,"010200"
1,89,"010100"
1,89,"002922"
1,89,"011400"
1,89,"011300"
1,89,"011011"
1,89,"010402"
1,89,"010301"
1,89,"011022"
1,89,"011014"
1,89,"002911"
1,89,"002801"
1,89,"002721"
1,89,"002701"
1,89,"002600"
1,89,"002502"
1,89,"002400"
1,89,"002300"
1,89,"002200"
1,89,"001903"
1,89,"001801"
1,89,"001700"
1,89,"001600"
1,89,"001500"
1,89,"001300"
1,89,"001200"
1,89,"000902"
1,89,"000800"
1,89,"000702"
1,89,"000701"
1,89,"000602"
1,89,"000601"
1,89,"000503"
1,89,"000502"
1,89,"000501"
1,89,"000302"
1,89,"000301"
1,89,"000202"
1,89,"000100"
1,89,"010800"
1,89,"010502"
1,89,"010622"
1,89,"010611"
1,89,"010612"
1,89,"011013"
1,89,"010501"
1,89,"010621"
1,83,"020401"
1,83,"020300"
1,83,"021000"
1,83,"020900"
1,83,"020700"
1,83,"020500"
1,83,"021100"
1,83,"020802"
1,83,"020600"
1,83,"020402"
1,83,"020200"
1,83,"020100"
1,83,"021200"
1,83,"020801"
1,43,"964300"
1,43,"965600"
1,43,"965200"
1,43,"964400"
1,43,"964200"
1,43,"964600"
1,43,"964500"
1,43,"965300"
1,43,"965400"
1,43,"965100"
1,43,"965000"
1,43,"964900"
1,43,"964800"
1,43,"964700"
1,43,"965700"
1,43,"965500"
1,43,"964100"
1,95,"030202"
1,95,"030300"
1,95,"030100"
1,95,"030700"
1,95,"030600"
1,95,"030201"
1,95,"030801"
1,95,"031000"
1,95,"030500"
1,95,"030400"
1,95,"031200"
1,95,"031100"
1,95,"030902"
1,95,"030802"
1,95,"030901"
1,133,"995700"
1,133,"995900"
1,133,"995800"
1,133,"995600"
1,133,"995500"
1,79,"979100"
1,79,"979700"
1,79,"979800"
1,79,"979500"
1,79,"979200"
1,79,"979600"
1,79,"979900"
1,79,"979400"
1,79,"979300"
1,103,"005301"
1,103,"005500"
1,103,"005600"
1,103,"000900"
1,103,"000800"
1,103,"000400"
1,103,"000300"
1,103,"005103"
1,103,"005102"
1,103,"005104"
1,103,"001000"
1,103,"000700"
1,103,"000600"
1,103,"005105"
1,103,"000200"
1,103,"000100"
1,103,"005405"
1,103,"005404"
1,103,"005700"
1,103,"005304"
1,103,"005303"
1,103,"005302"
1,103,"005101"
1,103,"005200"
