"","RT","TYPE","SERIALNO","PUMA","HINCP","NP"
"1","H",1,2,104,166000,2
"2","H",1,1154,200,24000,1
"3","H",1,1815,300,162500,3
"4","H",1,2034,300,81200,2
"5","H",1,2171,101,85000,1
"6","H",1,2212,102,45000,1
"7","H",1,2248,101,NA,0
"8","H",1,2368,200,64200,4
"9","H",1,2655,101,10700,1
"10","H",1,2740,300,NA,0
"11","H",1,2819,102,97000,2
"12","H",1,4107,200,57300,2
"13","H",1,5008,300,NA,0
"14","H",1,5226,300,46000,2
"15","H",1,5282,200,158000,3
"16","H",1,5851,300,28400,2
"17","H",1,6092,300,85000,2
"18","H",1,6325,103,59400,2
"19","H",1,6969,200,45000,2
"20","H",1,7290,300,337200,2
"21","H",2,7303,104,NA,1
"22","H",1,7539,101,178000,1
"23","H",1,8111,103,43500,2
"24","H",1,8699,300,125000,2
"25","H",1,8806,300,8400,1
"26","H",3,9481,101,NA,1
"27","H",3,9757,101,NA,1
"28","H",1,9863,300,28600,1
"29","H",1,9969,300,NA,0
"30","H",1,10247,103,64000,3
"31","H",1,10673,300,24600,2
"32","H",1,10719,102,NA,0
"33","H",1,10784,300,79000,2
"34","H",1,10975,200,64700,1
"35","H",1,11110,101,122000,2
"36","H",1,11587,101,50100,2
"37","H",1,11611,300,NA,0
"38","H",1,12026,103,155000,5
"39","H",1,12196,200,76900,2
"40","H",1,12249,101,57000,1
"41","H",1,12790,200,29700,4
"42","H",1,13278,200,78000,1
"43","H",1,13766,300,388000,2
"44","H",1,14170,300,NA,0
"45","H",1,14416,300,25500,2
"46","H",1,14609,200,NA,0
"47","H",1,14842,300,4500,1
"48","H",1,14858,101,NA,0
"49","H",1,15783,300,39100,1
"50","H",1,16771,200,101200,4
"51","H",1,17045,104,119000,2
"52","H",1,17121,300,NA,0
"53","H",1,17961,300,93000,4
"54","H",1,18089,104,60000,5
"55","H",1,18494,200,71000,2
"56","H",3,18531,103,NA,1
"57","H",1,18750,300,34200,2
"58","H",1,18789,300,NA,0
"59","H",1,18879,300,NA,0
"60","H",1,19619,101,49600,2
"61","H",1,20110,200,76200,3
"62","H",1,20636,200,101800,5
"63","H",1,20801,101,80010,1
"64","H",3,21244,200,NA,1
"65","H",1,21830,103,10900,2
"66","H",1,22048,103,NA,0
"67","H",1,22076,300,167120,4
"68","H",1,22410,300,37500,3
"69","H",1,23054,300,NA,0
"70","H",1,23919,300,60000,3
"71","H",1,24267,200,117000,2
"72","H",1,24810,102,175000,2
"73","H",1,25282,200,30400,1
"74","H",1,25384,104,33000,2
"75","H",1,26377,200,27100,3
"76","H",3,26779,200,NA,1
"77","H",1,26919,200,71800,3
"78","H",1,27074,102,57000,1
"79","H",1,27193,103,430500,7
"80","H",1,27541,101,386000,1
"81","H",3,28008,103,NA,1
"82","H",1,28286,300,120800,2
"83","H",1,28302,300,32800,2
"84","H",1,28433,200,60600,2
"85","H",1,28913,102,140200,1
"86","H",1,29108,200,50200,1
"87","H",1,29271,300,62420,2
"88","H",3,29560,300,NA,1
"89","H",1,29616,104,168000,4
"90","H",1,29833,300,104300,4
"91","H",1,29921,103,104000,4
"92","H",1,30166,102,81000,2
"93","H",1,31184,103,31200,1
"94","H",1,31622,300,NA,0
"95","H",1,31672,103,36000,2
"96","H",1,32496,200,33100,2
"97","H",1,32740,101,9800,1
"98","H",1,33156,102,170690,2
"99","H",1,34096,200,12000,1
"100","H",1,34198,102,73200,2
"101","H",1,34347,300,25100,1
"102","H",1,35322,300,NA,0
"103","H",1,35920,101,25000,4
"104","H",1,36823,101,45000,3
"105","H",1,37724,101,95000,3
"106","H",1,38271,102,86000,4
"107","H",1,38321,101,120900,6
"108","H",1,39732,300,64200,2
"109","H",1,39781,300,68000,2
"110","H",1,39946,102,70900,3
"111","H",1,41013,300,42300,1
"112","H",1,41209,103,18700,1
"113","H",1,41349,103,60000,3
"114","H",1,41693,104,77000,5
"115","H",3,41702,103,NA,1
"116","H",1,42172,200,53001,6
"117","H",1,42499,102,40000,2
"118","H",1,42643,102,31500,1
"119","H",1,42713,300,NA,0
"120","H",1,43441,103,47000,1
"121","H",1,43749,300,32000,1
"122","H",1,43846,300,NA,0
"123","H",1,44071,103,194800,4
"124","H",1,44404,300,15600,1
"125","H",1,44587,300,NA,0
"126","H",1,44646,300,82600,2
"127","H",1,45016,200,50300,4
"128","H",1,45147,300,178100,4
"129","H",1,45461,200,60500,2
"130","H",1,45495,300,NA,0
"131","H",1,45806,102,28300,2
"132","H",1,46045,102,31000,1
"133","H",1,46654,300,NA,0
"134","H",3,47246,200,NA,1
"135","H",2,47452,104,NA,1
"136","H",1,47567,200,220100,2
"137","H",1,47897,300,22000,1
"138","H",1,48093,103,127000,1
"139","H",1,48639,104,169000,2
"140","H",1,48983,300,41400,1
"141","H",1,49044,103,70000,3
"142","H",1,49104,102,233300,2
"143","H",1,49779,200,186000,2
"144","H",1,50050,300,NA,0
"145","H",1,51026,103,9370,1
"146","H",1,51899,102,2200,1
"147","H",1,52371,103,0,2
"148","H",1,52451,300,45400,2
"149","H",1,53502,300,130540,4
"150","H",1,53584,200,513500,2
"151","H",1,53604,102,NA,0
"152","H",2,53661,104,NA,1
"153","H",1,54054,300,59000,2
"154","H",1,54372,104,26200,1
"155","H",1,54966,102,241400,3
"156","H",1,55393,200,60000,6
"157","H",1,55474,101,0,2
"158","H",1,55663,300,NA,0
"159","H",1,55677,102,50000,4
"160","H",1,56570,200,67600,1
"161","H",1,56835,103,67000,2
"162","H",3,57229,103,NA,1
"163","H",1,57432,300,23600,2
"164","H",1,57502,300,51400,2
"165","H",1,57550,103,109200,4
"166","H",3,57568,300,NA,1
"167","H",1,57572,104,13000,2
"168","H",1,57638,101,48000,6
"169","H",1,57669,103,55000,1
"170","H",1,57735,104,208000,2
"171","H",3,58067,103,NA,1
"172","H",1,58217,103,16100,1
"173","H",1,58479,104,69300,1
"174","H",1,59389,101,20430,3
"175","H",1,59619,104,210500,3
"176","H",3,59723,103,NA,1
"177","H",1,59747,104,70000,3
"178","H",1,60710,200,117004,5
"179","H",1,60990,200,42500,3
"180","H",1,61165,300,273000,2
"181","H",1,61466,300,31100,2
"182","H",1,61838,200,68800,2
"183","H",1,62230,102,64200,5
"184","H",1,62494,300,46000,2
"185","H",1,63647,300,70600,2
"186","H",1,64200,200,41600,2
"187","H",1,64249,103,219300,2
"188","H",1,64569,300,120000,4
"189","H",1,64759,101,NA,0
"190","H",1,65130,200,40000,1
"191","H",2,65319,300,NA,1
"192","H",1,65339,300,34900,2
"193","H",1,65917,300,NA,0
"194","H",1,66488,101,64000,1
"195","H",3,66640,103,NA,1
"196","H",1,66994,104,24000,1
"197","H",1,67111,102,863000,3
"198","H",3,67419,200,NA,1
"199","H",1,67487,300,96000,2
"200","H",1,68263,101,281000,1
"201","H",1,68889,104,195000,2
"202","H",1,69119,102,148200,2
"203","H",1,69248,300,24200,2
"204","H",1,69277,102,100000,2
"205","H",1,69408,200,17470,4
"206","H",1,69439,101,55000,1
"207","H",1,69624,102,153040,2
"208","H",1,70056,300,43000,1
"209","H",1,70226,300,90600,3
"210","H",1,70281,104,1100,2
"211","H",1,70390,102,79000,2
"212","H",1,70508,200,21700,1
"213","H",1,70722,300,32000,1
"214","H",1,70727,102,19900,1
"215","H",1,71362,101,37200,3
"216","H",1,71693,300,NA,0
"217","H",1,71801,103,151000,4
"218","H",1,71879,102,19500,2
"219","H",1,72065,300,NA,0
"220","H",1,72288,300,NA,0
"221","H",1,72546,200,39800,2
"222","H",2,73529,300,NA,1
"223","H",2,73685,300,NA,1
"224","H",1,73775,300,31600,1
"225","H",1,74320,200,600,2
"226","H",1,74865,104,213000,2
"227","H",1,75025,200,147000,4
"228","H",1,75482,300,110000,2
"229","H",1,75531,102,70000,2
"230","H",1,75799,101,NA,0
"231","H",2,75927,102,NA,1
"232","H",1,76052,200,9600,2
"233","H",1,76103,102,188000,2
"234","H",1,76880,200,32000,2
"235","H",1,76977,300,NA,0
"236","H",1,77206,104,50400,7
"237","H",1,77421,300,NA,0
"238","H",1,77617,103,81000,2
"239","H",1,77785,300,9600,1
"240","H",1,78293,300,45000,3
"241","H",1,78393,104,88908,2
"242","H",1,78779,102,NA,0
"243","H",1,79112,101,61400,4
"244","H",3,79119,103,NA,1
"245","H",1,79167,104,51400,4
"246","H",1,79328,300,NA,0
"247","H",1,79412,101,39000,2
"248","H",1,81076,103,160000,3
"249","H",1,81159,300,78000,5
"250","H",1,81193,101,11400,3
"251","H",1,81669,103,35100,2
"252","H",1,81675,103,84008,2
"253","H",1,82490,300,NA,0
"254","H",1,82497,101,NA,0
"255","H",1,82669,200,119200,3
"256","H",1,82762,102,188000,2
"257","H",1,82769,300,13400,1
"258","H",1,82815,102,77200,2
"259","H",3,83116,200,NA,1
"260","H",1,83531,101,64000,2
"261","H",1,84236,200,58500,2
"262","H",1,84601,300,19500,1
"263","H",1,84995,102,97070,4
"264","H",1,85330,101,860,1
"265","H",1,85459,102,155900,2
"266","H",1,85594,102,70100,1
"267","H",1,85650,300,NA,0
"268","H",1,85895,102,41430,1
"269","H",1,86238,102,110200,4
"270","H",1,86303,200,60900,2
"271","H",1,86515,300,NA,0
"272","H",2,86648,103,NA,1
"273","H",1,86653,103,78000,2
"274","H",1,86723,200,101800,2
"275","H",1,86815,103,91100,1
"276","H",1,87754,300,39800,2
"277","H",1,87876,103,20200,2
"278","H",1,88191,200,35300,2
"279","H",1,88280,104,487200,4
"280","H",1,88603,200,122500,4
"281","H",1,89349,200,45000,1
"282","H",1,89400,300,94800,2
"283","H",1,89913,101,71400,3
"284","H",1,89952,102,154700,5
"285","H",1,90095,103,12400,2
"286","H",1,90289,300,67300,1
"287","H",1,90767,300,NA,0
"288","H",1,91046,101,NA,0
"289","H",1,91085,101,129100,4
"290","H",1,91313,200,42300,2
"291","H",1,92924,104,77200,4
"292","H",1,93188,300,NA,0
"293","H",1,93334,104,82000,2
"294","H",1,93389,300,22200,3
"295","H",1,93586,101,18000,1
"296","H",3,93600,104,NA,1
"297","H",1,93860,300,NA,0
"298","H",1,94214,102,325000,4
"299","H",1,95659,300,NA,0
"300","H",1,96112,300,NA,0
"301","H",1,96635,300,59600,2
"302","H",1,96828,102,90000,1
"303","H",1,96983,300,25000,1
"304","H",1,97538,103,144520,5
"305","H",3,97942,200,NA,1
"306","H",1,97957,103,77700,4
"307","H",1,98231,103,52000,2
"308","H",1,98447,200,50000,1
"309","H",1,99292,200,12200,1
"310","H",2,99666,101,NA,1
