"Private.School.Name","State.Name..Private.School..Latest.available.year","County.Code","State.Code","Lowest.Grade.Taught..Private.School..2011.12","Highest.Grade.Taught..Private.School..2011.12","Total.Students","Total.Students..Ungraded...K.12...Private.School..2011.12","Lowest.Grade","Highest.Grade"
"1ST CLASS MONTESSORI PRESCHOOL","TENNESSEE","47157","47","Prekindergarten","Kindergarten","17","6",-1,0
"1ST UNITED METHODIST PRESCHOOL","NORTH CAROLINA","37127","37","Prekindergarten","Kindergarten","71","8",-1,0
"2450 CHILDCARE INC DBA HAPPY D","INDIANA","18089","18","Prekindergarten","Kindergarten","105","15",-1,0
"63RD ST MULTICULTURAL ACAD OF","PENNSYLVANIA","42101","42","Prekindergarten","12th grade","75","54",-1,12
"91ST PSALM CHRISTIAN SCHOOL","ARIZONA","=04013","=04","Prekindergarten","12th grade","141","125",-1,12
"A & B CHRISTIAN SCHOOL","TEXAS","48201","48","Prekindergarten","2nd grade","49","9",-1,2
"A B C LITTLE SCHOOL","CALIFORNIA","=06037","=06","Prekindergarten","1st grade","80","12",-1,1
"A BETTER CHANCE SCHOOL/CAL AUT","CALIFORNIA","=06013","=06","4th grade","12th grade","20","20",4,12
"A BRIGHT BEGINNING","CALIFORNIA","=06037","=06","Prekindergarten","Kindergarten","91","15",-1,0
"A BRIGHT BEGINNING LEARNING CE","WASHINGTON","53063","53","Prekindergarten","Kindergarten","63","7",-1,0
"A CARING TOUCH CHRISTIAN FAMIL","CALIFORNIA","=06037","=06","Prekindergarten","Transitional Kindergarten","18","7",-1,0
"A CHILD S PLACE","MARYLAND","24510","24","Prekindergarten","Kindergarten","52","7",-1,0
"A CHILD S PLACE SCHOOL","NEW JERSEY","34025","34","Prekindergarten","1st grade","74","22",-1,1
"A CHILD'S GARDEN","OREGON","41017","41","Prekindergarten","Transitional Kindergarten","44","2",-1,0
"A CHILD'S GARDEN","CONNECTICUT","=09001","=09","Prekindergarten","Kindergarten","47","7",-1,0
"A CHILD'S GARDEN MONTESSORI SC","CONNECTICUT","=09011","=09","Kindergarten","Kindergarten","8","8",0,0
"A CHILD'S PLACE","NEW JERSEY","34035","34","Kindergarten","Kindergarten","10","10",0,0
"A CHILD'S PLACE DAY SCHOOL","NEW YORK","36081","36","Prekindergarten","4th grade","238","58",-1,4
"A CHILD'S PLACE MONTESSORI SCH","FLORIDA","12031","12","Prekindergarten","4th grade","84","14",-1,4
"A CHILDREN'S HABITAT MONTESSOR","INDIANA","18097","18","Prekindergarten","Kindergarten","12","6",-1,0
"A CHILDRENS PLACE LEARNING CEN","PENNSYLVANIA","42077","42","Prekindergarten","Kindergarten","25","14",-1,0
"A CHILDS GARDEN MONTESSORI SCH","TEXAS","48113","48","Prekindergarten","Kindergarten","66","16",-1,0
"A CHILDS WORLD","PENNSYLVANIA","42017","42","Prekindergarten","Kindergarten","40","12",-1,0
"A COUNTRY GARDEN MONTESSORI","WASHINGTON","53033","53","Prekindergarten","Transitional Kindergarten","22","3",-1,0
"A DIFFERENT WORLD ACADEMY","LOUISIANA","22051","22","5th grade","12th grade","23","23",5,12
"A FANTIS PAROCHIAL SCHOOL","NEW YORK","36047","36","Prekindergarten","8th grade","162","105",-1,8
"A GENERATION AHEAD CHILD CARE/","ILLINOIS","17043","17","Prekindergarten","Kindergarten","89","9",-1,0
"A GROWING PLACE MONTESSORI SCH","MISSOURI","29189","29","Prekindergarten","Kindergarten","21","5",-1,0
"A HABITAT FOR LEARNING","TEXAS","48441","48","Prekindergarten","7th grade","225","201",-1,7
"A IS 4 APPLE CHRISTIAN SCHOOL","WASHINGTON","53047","53","Prekindergarten","1st grade","20","13",-1,1
"A JOYFUL NOISE LEARNING CENTER","CALIFORNIA","=06001","=06","Prekindergarten","Kindergarten","22","5",-1,0
"A KID'S PLACE","VIRGINIA","51107","51","Prekindergarten","Kindergarten","27","12",-1,0
"A LAKES REGION MONTESSORI","NEW HAMPSHIRE","33001","33","Kindergarten","Kindergarten","7","7",0,0
"A LITTLE COLLEGE AT ROYAL OAKS","FLORIDA","12086","12","Prekindergarten","5th grade","197","147",-1,5
"A MOTHER'S TOUCH CREATIVE LEAR","ILLINOIS","17031","17","Prekindergarten","Kindergarten","95","20",-1,0
"A MOTHERS TOUCH LEARNING ACADE","ILLINOIS","17031","17","Prekindergarten","Kindergarten","32","12",-1,0
"A NEW DAWN ELEMENTARY SCHOOL","NEW YORK","36081","36","Prekindergarten","3rd grade","35","19",-1,3
"A PLEASANT DAY NURSERY SCHOOL","NEW JERSEY","34013","34","Prekindergarten","Kindergarten","16","6",-1,0
"A PLUS LEARNING ACADEMY","FLORIDA","12023","12","Kindergarten","12th grade","56","56",0,12
"A SCHOOL FOR CHILDREN","GEORGIA","13095","13","2nd grade","10th grade","17","17",2,10
"A SIMPLE PATH MONTESSORI","ARIZONA","=04013","=04","Prekindergarten","Kindergarten","24","1",-1,0
"A SMALL WORLD","MARYLAND","24005","24","Prekindergarten","Kindergarten","40","7",-1,0
"A STEP AHEAD PRESCHOOL","NEW JERSEY","34017","34","Prekindergarten","Kindergarten","35","6",-1,0
"A STEP UP","RHODE ISLAND","44003","44","Prekindergarten","Kindergarten","35","1",-1,0
"A UNIQUE LEARNING ACADEMY","GEORGIA","13089","13","Prekindergarten","1st grade","52","14",-1,1
"A VILLAGE GREEN MONTESSORI","ILLINOIS","17097","17","Prekindergarten","Kindergarten","140","45",-1,0
"A WEE PROMISE CHRISTIAN PRESCH","FLORIDA","12071","12","Prekindergarten","2nd grade","10","4",-1,2
"A WEEKDAY CHILDRENS MINISTRY O","INDIANA","18097","18","Prekindergarten","Kindergarten","213","13",-1,0
"A WORLD DISCOVERY MONTESSORI S","WASHINGTON","53061","53","Prekindergarten","Kindergarten","49","9",-1,0
"A WORLD OF CHILDREN","VIRGINIA","51550","51","Prekindergarten","4th grade","55","22",-1,4
"A WORLD OF CHILDREN","VIRGINIA","51810","51","Prekindergarten","Kindergarten","50","15",-1,0
"A WORLD OF HOPE CC LEARNING CT","GEORGIA","13245","13","Prekindergarten","4th grade","47","23",-1,4
"A+ PREP SCHOOL","TEXAS","48085","48","Prekindergarten","Kindergarten","70","10",-1,0
"AA TO ZZ CHILD CARE AND LEARNI","PENNSYLVANIA","42043","42","Kindergarten","Kindergarten","–","–",0,0
"AARDVARK CHILD CARE & LEARNING","PENNSYLVANIA","42045","42","Prekindergarten","Kindergarten","22","2",-1,0
"AARON ACADEMY","NEW YORK","36061","36","7th grade","10th grade","46","46",7,10
"AARON SCHOOL","NEW YORK","36061","36","Kindergarten","6th grade","114","114",0,6
"ABBOTSFORD CHRISTIAN ACADEMY","WISCONSIN","55073","55","Prekindergarten","12th grade","37","33",-1,12
"ABBOTT HOUSE","SOUTH DAKOTA","46035","46","4th grade","12th grade","36","36",4,12
"ABC 123 A CAT A ME","TEXAS","48201","48","Prekindergarten","Kindergarten","50","15",-1,0
"ABC CHILDCARE CENTER","CALIFORNIA","=06065","=06","Kindergarten","Kindergarten","25","25",0,0
"ABC CHRISTIAN ACADEMY & PRESCH","FLORIDA","12031","12","Prekindergarten","7th grade","92","46",-1,7
"ABC DAYCARE & KINDERGARTEN","GEORGIA","13245","13","Prekindergarten","Kindergarten","28","10",-1,0
"ABC EXPRESS PRESCHOOL","NEW JERSEY","34015","34","Prekindergarten","Kindergarten","26","1",-1,0
"ABC INTERNATIONAL MONTESSORI A","MINNESOTA","27053","27","Prekindergarten","5th grade","30","12",-1,5
"ABC KINDERGARTEN","TEXAS","48037","48","Prekindergarten","Kindergarten","12","3",-1,0
"ABC LEARNING ACADEMY INC","OKLAHOMA","40143","40","Kindergarten","5th grade","26","26",0,5
"ABC LITTLE SCHOOL","CALIFORNIA","=06037","=06","Prekindergarten","Kindergarten","103","15",-1,0
"ABC LITTLE SCHOOLS - WEST HOLL","CALIFORNIA","=06037","=06","Prekindergarten","Kindergarten","47","11",-1,0
"ABC MONTESSORI ACADEMY FOR THE","GEORGIA","13151","13","Prekindergarten","12th grade","102","62",-1,12
"ABC NURSERY SCHOOL AND KINDERG","NEW JERSEY","34005","34","Prekindergarten","Kindergarten","41","12",-1,0
"ABC OF NC CHILD DEVELOPMENT CE","NORTH CAROLINA","37067","37","Prekindergarten","Transitional 1st grade","38","32",-1,1
"ABC PLAYHOUSE","CALIFORNIA","=06037","=06","Prekindergarten","1st grade","93","39",-1,1
"ABC PRESCHOOL & KINDERGARTEN C","NEW YORK","36081","36","Prekindergarten","Kindergarten","125","11",-1,0
"ABC SCHOOL","CALIFORNIA","=06067","=06","Prekindergarten","Prekindergarten","72","60",-1,-1
"ABC SCHOOL HOUSE","CALIFORNIA","=06037","=06","Kindergarten","Kindergarten","2","2",0,0
"ABC SPECTRUM PRESCHOOL","NEW JERSEY","34025","34","Prekindergarten","Kindergarten","120","20",-1,0
"ABC TOON TOWN II","ILLINOIS","17031","17","Prekindergarten","Kindergarten","53","13",-1,0
"ABC VILLAGE","CALIFORNIA","=06065","=06","Prekindergarten","Kindergarten","90","25",-1,0
"ABC'S FOR CHILDREN","PENNSYLVANIA","42003","42","Prekindergarten","Kindergarten","67","10",-1,0
"ABC'S OF LEARNING","NEW JERSEY","34027","34","Prekindergarten","Kindergarten","48","5",-1,0
"ABC-STEWART SCHOOL","INDIANA","18005","18","Prekindergarten","6th grade","172","110",-1,6
