"","workplace_id","stcotr","employees","placed","wkb_geometry"
"2",400174098,10001040100,2,3,"0101000020E610000024D236FE44E752C0C6504EB4AB9A4340"
"3",400482516,10001040100,1,2,"0101000020E61000007B681F2BF8E652C0C90391459A9A4340"
"4",603542283,10001040201,4,5,"0101000020E610000003D0285DFAE652C0240ED940BAA64340"
"5",678081480,10001040201,2,2,"0101000020E610000086C8E9EBF9E652C0B37C5D86FFA64340"
"6",692362783,10001040201,1,2,"0101000020E61000008B6EBDA607E752C023827170E9A64340"
"7",816271902,10001040201,2,3,"0101000020E610000088F37002D3E652C0572250FD83A64340"
"8",816272249,10001040201,6,7,"0101000020E61000002EC55565DFE652C01D226E4E25A74340"
"9",816272637,10001040201,20,21,"0101000020E6100000881057CEDEE652C0C3D66CE525A74340"
"10",816272900,10001040201,7,7,"0101000020E610000068B27F9E06E752C0A3737E8AE3A64340"
"11",816275143,10001040201,1,2,"0101000020E61000007E18213CDAE652C071C971A774A64340"
"12",816275622,10001040201,70,71,"0101000020E610000021AE9CBD33E752C05070B1A206A74340"
"13",816275978,10001040201,6,7,"0101000020E61000006E4C4F58E2E652C09161156F64A64340"
"14",816275994,10001040201,20,21,"0101000020E6100000F450DB8651E752C0BE1589096AA64340"
"15",816276141,10001040201,19,20,"0101000020E6100000828C800A47E752C074B680D07AA64340"
"16",890642481,10001040201,4,5,"0101000020E6100000CAC51858C7E652C010E9B7AF03A74340"
"17",909467391,10001040201,2,3,"0101000020E61000001BF2CF0CE2E652C00AF31E679AA64340"
"18",909470254,10001040201,75,76,"0101000020E6100000F99D2633DEE652C0698B6B7C26A74340"
"19",909470627,10001040201,30,31,"0101000020E6100000DB5207793DE752C09014916115A74340"
"20",966226854,10001040201,3,4,"0101000020E6100000AB06616EF7E652C0EC12D55B03A74340"
"21",121612329,10001040201,4,5,"0101000020E61000000EF3E505D8E652C0CA4E3FA88BA64340"
"22",121612428,10001040201,10,11,"0101000020E6100000C91CCBBBEAE652C0E73922DFA5A64340"
"23",121612543,10001040201,3,3,"0101000020E6100000F96871C630E752C0740D33349EA64340"
"24",121612675,10001040201,4,5,"0101000020E6100000C91CCBBBEAE652C063601DC70FA74340"
"25",121612709,10001040201,3,3,"0101000020E610000091990B5C1EE752C061A92EE065A64340"
"26",121613863,10001040201,26,27,"0101000020E6100000B857E6ADBAE652C066D993C0E6A64340"
