"COUNTRY","YEAR","SAMPLE","SERIALNO","PERSONS","HHWT","FORMTYPE","REGIONW","puma_id","GEOLEV2","SEWAGE","PERNUM","PERWT","RESIDENT","longitude","latitude","SYNTHETIC_SERIAL"
858,2011,858201101,114417000,4,10,NA,24,858018,NA,11,1,10,NA,-56.4612577612237,-30.5019349631103,1
858,2011,858201101,37994000,5,10,NA,24,858001,NA,11,1,10,NA,-56.5058697657093,-30.6200386137741,2
858,2011,858201101,48369000,3,10,NA,24,858001,NA,11,1,10,NA,-56.5457885025267,-30.3847084592754,3
858,2011,858201101,1434000,2,10,NA,24,858001,NA,11,1,10,NA,-57.4779057457097,-30.7459547209561,4
858,2011,858201101,8065000,3,10,NA,24,858001,NA,11,1,10,NA,-56.5125857876129,-30.6383455220803,5
858,2011,858201101,51639000,3,10,NA,24,858002,NA,11,1,10,NA,-56.3732517052305,-30.6988955511419,6
858,2011,858201101,34240000,2,10,NA,24,858001,NA,11,1,10,NA,-56.8230759248465,-30.2179426739138,7
858,2011,858201101,34120000,2,10,NA,24,858001,NA,11,1,10,NA,-57.0818896540008,-30.6708765252129,8
858,2011,858201101,99774000,5,10,NA,24,858013,NA,12,1,10,NA,-57.5205163559969,-30.3023968016514,9
858,2011,858201101,63158000,1,10,NA,24,858003,NA,12,1,10,NA,-57.3095758182453,-30.7653463531047,10
858,2011,858201101,71764000,5,10,NA,24,858004,NA,12,1,10,NA,-56.7321762883683,-30.7404760626625,11
858,2011,858201101,1679000,2,10,NA,24,858001,NA,11,1,10,NA,-56.8308611504246,-30.6368191050161,12
858,2011,858201101,88909000,3,10,NA,24,858010,NA,11,1,10,NA,-57.3845788392206,-30.8095768002397,13
858,2011,858201101,51397000,1,10,NA,24,858002,NA,0,1,10,NA,-57.1722372126101,-30.4249931525146,14
858,2011,858201101,56013000,1,10,NA,24,858003,NA,12,1,10,NA,-56.2407930550321,-30.756934158332,15
858,2011,858201101,99772000,4,10,NA,24,858013,NA,11,1,10,NA,-57.7243783348569,-30.4744625399846,16
858,2011,858201101,41534000,2,10,NA,24,858001,NA,11,1,10,NA,-57.6664339940444,-30.7074686992652,17
858,2011,858201101,72676000,6,10,NA,24,858004,NA,12,1,10,NA,-57.4962713545018,-30.5059793978415,18
858,2011,858201101,70049000,5,10,NA,24,858003,NA,12,1,10,NA,-57.3873651704974,-30.7515497692605,19
858,2011,858201101,91335000,3,10,NA,24,858011,NA,11,1,10,NA,-56.6211934797573,-30.5820124806342,20
858,2011,858201101,95992000,3,10,NA,24,858012,NA,12,1,10,NA,-56.9574507713196,-30.4229681760509,21
858,2011,858201101,41370000,3,10,NA,24,858001,NA,11,1,10,NA,-56.1630564758345,-30.8845255667713,22
858,2011,858201101,77583000,1,10,NA,24,858005,NA,12,1,10,NA,-57.3248209415484,-30.3199467830438,23
858,2011,858201101,934000,2,10,NA,24,858001,NA,11,1,10,NA,-56.816334537124,-30.18378310346,24
858,2011,858201101,102120000,4,10,NA,24,858014,NA,12,1,10,NA,-57.4741214035014,-30.7872384187364,25
858,2011,858201101,3803000,4,10,NA,24,858001,NA,11,1,10,NA,-56.1977817616074,-30.8175341511841,26
858,2011,858201101,114522000,5,10,NA,24,858018,NA,12,1,10,NA,-56.068071008701,-31.0350605669719,27
858,2011,858201101,74417000,2,10,NA,24,858005,NA,12,1,10,NA,-56.4611682165441,-30.6497220234459,28
858,2011,858201101,116188000,8,10,NA,24,858018,NA,12,1,10,NA,-56.2476832159705,-30.5779369381761,29
